Left Inverter Address Claim Timestamp (ms),4519.572
Right Inverter Address Claim Timestamp (ms),3699.541
Left Inverter Invalid to Valid Timestamp (ms),5683.565
Left Inverter Invalid to Valid Timestamp (ms),5803.58

Time Stamp (ms),Left Motor Speed,Right Motor Speed,Left Motor Torque,Right Motor Torque,Left Motor Speed Estimate,Right Motor Speed Estimate
5533.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5538.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5543.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5548.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5553.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5558.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5563.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5568.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5573.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5578.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5583.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5588.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5593.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5598.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5603.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5608.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5613.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5618.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5623.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5628.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5633.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5638.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5643.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5648.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5653.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5658.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5663.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5668.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5673.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5678.754,16767.5,16767.5,1002.1201171875,1002.1201171875,1755.5,-1756.0
5683.754,0.0,16767.5,0.0,1002.1201171875,1755.5,-1756.0
5688.754,0.0,16767.5,0.0,1002.1201171875,1755.5,-1756.0
5693.754,0.0,16767.5,0.0,1002.1201171875,732.0,-1687.5
5698.754,0.0,16767.5,0.0,1002.1201171875,192.5,-1653.0
5703.754,0.0,16767.5,0.0,1002.1201171875,-89.5,-1636.5
5708.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-234.0,-1630.0
5713.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-305.0,-1628.0
5718.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-1346.0,-1700.5
5723.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-1898.5,-1738.5
5728.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2190.5,-1758.5
5733.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2344.0,-1769.0
5738.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2423.0,-1774.0
5743.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2462.5,-1776.0
5748.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2481.5,-1777.0
5753.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2489.0,-1777.5
5758.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2491.0,-1777.0
5763.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2490.0,-1777.0
5768.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2487.0,-1776.0
5773.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2483.5,-1775.5
5778.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2479.5,-1775.0
5783.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2475.5,-1774.5
5788.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2471.5,-1774.0
5793.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2467.5,-1773.5
5798.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2463.5,-1773.0
5803.754,16767.5,0.0,1002.1201171875,0.0,-2460.0,-1772.5
5808.754,16767.5,0.0,1002.1201171875,0.0,-2456.0,-1772.0
5813.754,16767.5,0.0,1002.1201171875,0.0,-2521.0,-748.0
5818.754,16767.5,0.0,1002.1201171875,0.0,-2552.0,-207.5
5823.754,16767.5,0.0,1002.1201171875,0.0,-2565.5,74.5
5828.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2569.0,219.5
5833.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2567.5,291.0
5838.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2494.5,-699.5
5843.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2455.0,-1227.0
5848.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2432.5,-1507.0
5853.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2420.0,-1655.5
5858.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2412.0,-1734.0
5863.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2407.0,-1774.5
5868.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2403.5,-1795.5
5873.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2400.5,-1805.5
5878.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2398.5,-1810.0
5883.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2396.0,-1812.0
5888.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2394.5,-1812.0
5893.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2392.5,-1811.0
5898.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2391.0,-1810.0
5903.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2389.5,-1808.5
5908.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2388.0,-1807.0
5913.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2386.5,-1805.5
5918.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-2385.0,-1804.0
5923.754,0.0,16767.5,0.0,1002.1201171875,-2383.5,-1802.5
5928.754,0.0,16767.5,0.0,1002.1201171875,-2382.5,-1801.0
5933.754,0.0,16767.5,0.0,1002.1201171875,-3404.5,-1731.0
5938.754,0.0,16767.5,0.0,1002.1201171875,-3943.0,-1695.0
5943.754,0.0,16767.5,0.0,1002.1201171875,-4223.5,-1677.5
5948.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-4367.0,-1669.5
5953.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-4437.0,-1666.5
5958.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-5477.0,-1737.5
5963.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6028.5,-1774.5
5968.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6319.5,-1793.5
5973.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6471.5,-1802.5
5978.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6549.5,-1806.5
5983.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6588.5,-1808.0
5988.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6606.5,-1808.0
5993.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6613.0,-1807.5
5998.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6614.0,-1806.0
6003.754,16767.5,0.0,1002.1201171875,0.0,-6612.0,-1805.0
6008.754,16767.5,0.0,1002.1201171875,0.0,-6608.5,-1803.5
6013.754,16767.5,0.0,1002.1201171875,0.0,-6672.5,-778.5
6018.754,16767.5,0.0,1002.1201171875,0.0,-6702.5,-237.5
6023.754,16767.5,0.0,1002.1201171875,0.0,-6714.0,46.0
6028.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6716.0,191.5
6033.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6713.0,264.0
6038.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6639.0,-725.5
6043.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6597.5,-1252.5
6048.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6574.0,-1532.0
6053.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6560.0,-1679.5
6058.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6550.5,-1757.0
6063.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6544.5,-1797.0
6068.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6539.5,-1817.0
6073.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6535.5,-1826.5
6078.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6532.0,-1830.5
6083.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6528.5,-1831.5
6088.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6526.0,-1831.0
6093.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6523.0,-1829.5
6098.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-6520.0,-1828.0
6103.754,0.0,16767.5,0.0,1002.1201171875,-6517.5,-1826.0
6108.754,0.0,16767.5,0.0,1002.1201171875,-6515.0,-1824.0
6113.754,0.0,16767.5,0.0,1002.1201171875,-7536.0,-1753.0
6118.754,0.0,16767.5,0.0,1002.1201171875,-8073.5,-1716.5
6123.754,0.0,16767.5,0.0,1002.1201171875,-8353.0,-1698.5
6128.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-8495.5,-1690.0
6133.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-8564.5,-1686.0
6138.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-9603.5,-1756.5
6143.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10154.0,-1793.0
6148.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10444.0,-1811.5
6153.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10595.5,-1820.0
6158.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10672.5,-1823.5
6163.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10710.5,-1824.5
6168.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10727.5,-1824.0
6173.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10733.5,-1822.5
6178.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10733.5,-1821.0
6183.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10731.0,-1819.0
6188.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10726.5,-1817.5
6193.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10721.5,-1815.5
6198.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10716.5,-1813.5
6203.754,16767.5,0.0,1002.1201171875,0.0,-10711.0,-1812.0
6208.754,16767.5,0.0,1002.1201171875,0.0,-10705.5,-1810.0
6213.754,16767.5,0.0,1002.1201171875,0.0,-10769.0,-785.0
6218.754,16767.5,0.0,1002.1201171875,0.0,-10798.0,-243.5
6223.754,16767.5,0.0,1002.1201171875,0.0,-10809.5,39.5
6228.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10811.5,185.5
6233.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10808.5,258.5
6238.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10734.5,-731.0
6243.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10693.0,-1257.5
6248.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10669.5,-1537.0
6253.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10655.0,-1684.5
6258.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10646.0,-1762.0
6263.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10639.5,-1802.0
6268.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10635.0,-1822.0
6273.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10631.0,-1831.0
6278.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10627.5,-1835.0
6283.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10624.0,-1836.0
6288.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10621.0,-1835.0
6293.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10618.5,-1833.5
6298.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-10615.5,-1831.5
6303.754,0.0,16767.5,0.0,1002.1201171875,-10613.0,-1829.5
6308.754,0.0,16767.5,0.0,1002.1201171875,-10610.5,-1827.5
6313.754,0.0,16767.5,0.0,1002.1201171875,-11631.5,-1756.5
6318.754,0.0,16767.5,0.0,1002.1201171875,-12169.0,-1720.0
6323.754,0.0,16767.5,0.0,1002.1201171875,-12448.5,-1701.5
6328.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-12591.0,-1693.0
6333.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-12660.0,-1689.5
6338.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-13699.0,-1759.5
6343.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14249.5,-1796.0
6348.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14539.5,-1814.0
6353.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14691.0,-1822.5
6358.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14768.0,-1826.0
6363.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14806.0,-1827.0
6368.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14823.0,-1826.0
6373.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14829.0,-1825.0
6378.754,16767.5,16767.5,1002.1201171875,1002.1201171875,-14829.5,-1823.0
6383.754,16767.5,0.0,1002.1201171875,0.0,-14826.5,-1821.5
6388.754,16767.5,0.0,1002.1201171875,0.0,-14822.5,-1819.5
